#Format: frequency (Hz)  ratio (dB)  phase (deg)
      33.537      -222.97      -113.07
      33.848      -223.17      -110.15
      34.161      -223.36      -107.27
      34.478      -223.54      -104.44
      34.797      -223.73      -101.64
      35.119      -223.91     -98.8811
      35.445      -224.08     -96.1612
      35.773      -224.25     -93.4781
      36.104      -224.42      -90.831
      36.439      -224.58     -88.2189
      36.776      -224.74     -85.6389
      37.117       -224.9     -83.0932
      37.461      -225.05     -80.5768
      37.807      -225.21     -78.0919
      38.158      -225.36     -75.6367
      38.511       -225.5     -73.2103
      38.868      -225.65     -70.8113
      39.228      -225.79     -68.4381
      39.591      -225.93     -66.0918
      39.958      -226.07     -63.7708
      40.328       -226.2     -61.4749
      40.701      -226.34     -59.2032
      41.078      -226.47      -56.954
      41.459       -226.6      -54.728
      41.843      -226.73      -52.525
       42.23      -226.85      -50.343
      42.622      -226.97      -48.182
      43.016       -227.1      -46.042
      43.415      -227.22      -43.923
      43.817      -227.34      -41.824
      44.223      -227.45      -39.745
      44.632      -227.57      -37.684
      45.046      -227.68      -35.643
      45.463      -227.79       -33.62
      45.884       -227.9      -31.616
      46.309      -228.01      -29.629
      46.738      -228.12      -27.661
      47.171      -228.23       -25.71
      47.608      -228.33      -23.776
      48.049      -228.43       -21.86
      48.494      -228.53       -19.96
      48.943      -228.63      -18.077
      49.396      -228.73      -16.211
      49.854      -228.83      -14.361
      50.316      -228.93      -12.527
      50.782      -229.02      -10.709
      51.252      -229.12     -8.90651
      51.727      -229.21      -7.1198
      52.206       -229.3      -5.3486
      52.689      -229.39      -3.5927
      53.177      -229.48      -1.8519
       53.67      -229.57     -0.12571
      54.167      -229.66       1.5855
      54.669      -229.74       3.2821
      55.175      -229.83       4.9641
      55.686      -229.91      6.63227
      56.202         -230        8.286
      56.722      -230.08      9.92621
      57.248      -230.16       11.553
      57.778      -230.24       13.165
      58.313      -230.33       14.765
      58.853      -230.41       16.352
      59.398      -230.49       17.926
      59.948      -230.57       19.487
      60.504      -230.64       21.037
      61.064      -230.72       22.574
       61.63       -230.8         24.1
        62.2      -230.88       25.614
      62.777      -230.96       27.117
      63.358      -231.03        28.61
      63.945      -231.11       30.092
      64.537      -231.19       31.565
      65.135      -231.26       33.028
      65.738      -231.34       34.482
      66.347      -231.41       35.928
      66.962      -231.49       37.365
      67.582      -231.57       38.795
      68.208      -231.64       40.217
       68.84      -231.72       41.633
      69.477      -231.79       43.043
      70.121      -231.87       44.447
       70.77      -231.94       45.846
      71.426      -232.02        47.24
      72.087       -232.1        48.63
      72.755      -232.17       50.015
      73.429      -232.25       51.398
      74.109      -232.32       52.777
      74.795      -232.39       54.154
      75.488      -232.47       55.528
      76.187      -232.54         56.9
      76.893      -232.61      58.2698
      77.605      -232.69      59.6392
      78.324      -232.76      61.0051
      79.049      -232.83       62.371
      79.781       -232.9      63.7341
       80.52      -232.97       65.096
      81.266      -233.04      66.4568
      82.019      -233.11      67.8153
      82.779      -233.18      69.1721
      83.545      -233.24      70.5271
      84.319      -233.31      71.8798
        85.1      -233.37      73.2309
      85.888      -233.44      74.5791
      86.684       -233.5      75.9238
      87.487      -233.56      77.2668
      88.297      -233.62      78.6069
      89.115      -233.68      79.9431
       89.94      -233.74      81.2758
      90.773       -233.8       82.605
      91.614      -233.86      83.9309
      92.463      -233.91      85.2533
      93.319      -233.97      86.5711
      94.183      -234.02      87.8843
      95.056      -234.08      89.1941
      95.936      -234.13      90.4998
      96.825      -234.18       91.801
      97.722      -234.23      93.0988
      98.627      -234.28      94.3919
       99.54      -234.33      95.6811
      100.46      -234.38      96.9662
      101.39      -234.43      98.2479
      102.33      -234.48      99.5262
      103.28      -234.52        100.8
      104.24      -234.57       102.07
       105.2      -234.62       103.34
      106.18      -234.66        104.6
      107.16      -234.71       105.86
      108.15      -234.75       107.12
      109.15      -234.79       108.37
