#Format: frequency (Hz)  ratio (dB)  phase (deg)
      27.129     -210.526      59.1058
     27.3803     -210.748      62.4696
     27.6339     -210.965      65.8363
     27.8898     -211.176      69.2144
     28.1481     -211.383      72.6121
     28.4088     -211.582      76.0395
      28.672     -211.775      79.5071
     28.9375     -211.958      83.0262
     29.2056     -212.132      86.6089
     29.4761     -212.293      90.2684
     29.7491      -212.44      94.0195
     30.0246     -212.568      97.8784
     30.3027     -212.673      101.861
     30.5834     -212.751      105.985
     30.8666     -212.792      110.266
     31.1525     -212.789      114.718
     31.4411      -212.73       119.35
     31.7323     -212.597       124.16
     32.0262     -212.373      129.128
     32.3228     -212.032      134.203
     32.6222     -211.543      139.286
     32.9244     -210.867        144.2
     33.2293     -209.959      148.637
     33.5371     -208.764      152.069
     33.8477      -207.23      153.568
     34.1612     -205.347      151.445
     34.4776     -203.315      142.842
      34.797     -201.962      125.464
     35.1193     -202.417      105.038
     35.4446     -204.201      91.3742
     35.7729     -206.175      85.1627
     36.1042      -207.91      83.3676
     36.4386      -209.36      83.8868
     36.7761     -210.569      85.6159
     37.1167     -211.588       87.984
     37.4605      -212.46      90.6843
     37.8075     -213.216      93.5485
     38.1576     -213.882      96.4809
     38.5111     -214.475      99.4271
     38.8678      -215.01      102.356
     39.2278     -215.497      105.252
     39.5911     -215.946      108.107
     39.9578     -216.362      110.916
     40.3279     -216.751       113.68
     40.7014     -217.116      116.401
     41.0784     -217.462      119.079
     41.4589     -217.791       121.72
     41.8429     -218.105      124.324
     42.2304     -218.405      126.897
     42.6216     -218.694       129.44
     43.0164     -218.972      131.957
     43.4148     -219.241      134.449
     43.8169       -219.5       136.92
     44.2227     -219.752      139.371
     44.6323     -219.995      141.804
     45.0457     -220.232      144.221
      45.463     -220.462      146.622
      45.884     -220.685      149.008
      46.309     -220.902       151.38
     46.7379     -221.113      153.739
     47.1708     -221.318      156.084
     47.6078     -221.519      158.415
     48.0487     -221.714      160.734
     48.4937     -221.904       163.04
     48.9429     -222.089      165.334
     49.3962     -222.271      167.616
     49.8537     -222.448      169.887
     50.3155     -222.622      172.148
     50.7815     -222.792        174.4
     51.2519     -222.958      176.643
     51.7266     -223.121      178.881
     52.2057     -223.281     -178.887
     52.6892     -223.438     -176.658
     53.1772     -223.591     -174.432
     53.6698     -223.742     -172.207
     54.1669     -223.889     -169.982
     54.6686     -224.032     -167.757
     55.1749     -224.172     -165.531
      55.686     -224.308     -163.304
     56.2017      -224.44     -161.075
     56.7223     -224.568     -158.845
     57.2477     -224.692     -156.614
     57.7779     -224.811     -154.382
      58.313     -224.926      -152.15
     58.8532     -225.037     -149.919
     59.3983     -225.143     -147.689
     59.9484     -225.244     -145.461
     60.5037      -225.34     -143.237
     61.0641     -225.432     -141.017
     61.6297     -225.518     -138.802
     62.2005     -225.599     -136.594
     62.7766     -225.676     -134.394
     63.3581     -225.748     -132.202
     63.9449     -225.814      -130.02
     64.5372     -225.876      -127.85
     65.1349     -225.933     -125.691
     65.7382     -225.985     -123.546
     66.3471     -226.033     -121.415
     66.9616     -226.076     -119.299
     67.5818     -226.114     -117.199
     68.2078     -226.148     -115.116
     68.8395     -226.178     -113.051
     69.4771     -226.204     -111.004
     70.1206     -226.225     -108.977
     70.7701     -226.243      -106.97
     71.4256     -226.257     -104.983
     72.0872     -226.267     -103.016
     72.7548     -226.273     -101.072
     73.4287     -226.277     -99.1492
     74.1088     -226.277     -97.2481
     74.7952     -226.274       -95.37
      75.488     -226.268     -93.5142
     76.1872     -226.259     -91.6813
     76.8928     -226.247     -89.8719
      77.605     -226.233     -88.0848
     78.3238     -226.217     -86.3207
     79.0493     -226.198       -84.58
     79.7814     -226.177     -82.8617
     80.5204     -226.154     -81.1669
     81.2662      -226.13     -79.4945
     82.0189     -226.103     -77.8449
     82.7786     -226.075     -76.2171
     83.5453     -226.045     -74.6123
     84.3191     -226.013     -73.0292
     85.1001     -225.981     -71.4673
     85.8883     -225.947     -69.9278
     86.6838     -225.911     -68.4089
     87.4867     -225.875     -66.9112
      88.297     -225.837     -65.4335
     89.1148     -225.799     -63.9765
     89.9402      -225.76     -62.5395
     90.7733     -225.719     -61.1226
      91.614     -225.678      -59.724
     92.4626     -225.637     -58.3449
      93.319     -225.595     -56.9847
     94.1833     -225.552     -55.6426
     95.0557     -225.508     -54.3184
     95.9361     -225.465     -53.0119
     96.8247      -225.42     -51.7226
     97.7215     -225.376     -50.4503
     98.6266     -225.331     -49.1946
     99.5401     -225.286     -47.9552
     100.462      -225.24     -46.7318
     101.393     -225.194      -45.524
     102.332     -225.148     -44.3315
     103.279     -225.102      -43.154
     104.236     -225.056     -41.9912
     105.202      -225.01     -40.8427
     106.176     -224.964     -39.7083
     107.159     -224.917     -38.5877
     108.152     -224.871     -37.4806
     109.154     -224.824     -36.3867
     110.165     -224.778     -35.3057
     111.185     -224.732     -34.2373
     112.215     -224.685     -33.1812
     113.254     -224.639     -32.1372
     114.303     -224.593      -31.105
     115.362     -224.547     -30.0844
      116.43     -224.501     -29.0751
     117.509     -224.455     -28.0768
     118.597      -224.41     -27.0893
     119.696     -224.364     -26.1124
     120.804     -224.319     -25.1458
     121.923     -224.274     -24.1892
     123.052     -224.229     -23.2425
     124.192     -224.185     -22.3054
     125.342      -224.14     -21.3777
     126.503     -224.096     -20.4592
     127.675     -224.052     -19.5497
     128.858     -224.008     -18.6488
     130.051     -223.965     -17.7566
     131.256     -223.922     -16.8726
     132.471     -223.879     -15.9968
     133.698     -223.836     -15.1289
     134.937     -223.794     -14.2687
     136.187     -223.752     -13.4161
     137.448      -223.71     -12.5708
     138.721     -223.669     -11.7326
     140.006     -223.628     -10.9014
     141.303     -223.587     -10.0769
     142.611     -223.547     -9.25906
     143.932     -223.506     -8.44758
     145.265     -223.467     -7.64234
     146.611     -223.427     -6.84312
     147.969     -223.388      -6.0498
     149.339     -223.349     -5.26212
     150.723     -223.311     -4.47996
     152.119     -223.273     -3.70315
     153.527     -223.235     -2.93149
     154.949     -223.197     -2.16482
     156.385      -223.16     -1.40298
     157.833     -223.124    -0.645786
     159.295     -223.087     0.106925
      160.77     -223.051     0.855323
      162.26     -223.016      1.59957
     163.762     -222.981      2.33985
     165.279     -222.946      3.07631
      166.81     -222.911      3.80912
     168.355     -222.877      4.53845
     169.914     -222.843      5.26447
     171.488      -222.81      5.98735
     173.077     -222.777      6.70722
      174.68     -222.744      7.42427
     176.298     -222.712      8.13869
      177.93      -222.68      8.85059
